Takehiro Harusaki;Strawweight;Harusaki
Hiroyuki Abe;Strawweight;
Yuichiro Yajima;Strawweight;Yuichiro, Yajima
Yukitaka Musashi;Strawweight;Yukitaka, Musashi
Ryosuke Tanuma;Strawweight;Ryosuke, Tanuma
Tadaaki Yamamoto;Strawweight;Tadaaki, Yamamoto
Takehiro Ishii;Strawweight;Ishii
Takuya Eizumi;Strawweight;Takuya, Eizumi
Masakazu Utsugi;Strawweight;Utsugi
Ryo Hatta;Strawweight;Ryo, Hatta
Kento Kanbe;Strawweight;Kento, Kanbe
Yusei Shimokawa;Strawweight;Yusei, Shimokawa
Masayoshi Kato;Strawweight;Masayoshi
Ken Asuka;Strawweight;Asuka
Ronda Rousey;Women;Ronda, Rousey
Yuka Tsuji;Women;Yuka, Tsuji
Cristiane Justino;Women;Cristiane, Justino
Marloes Coenen;Women;Marloes, Coenen
Megumi Fujii;Women;Megumi, Fujii
Tara LaRosa;Women;Tara, LaRosa
Sarah Kaufman;Women;Sarah, Kaufman
Jennifer Howe;Women;Jennifer, Howe
Miesha Tate;Women;Miesha, Tate
Jessica Aguilar;Women;Jessica, Aguilar
Alexis Davis;Women;Davis
Hisae Watanabe;Women;Hisae, Watanabe
Roxanne Modafferi;Women;Roxanne, Modafferi
Satoko Shinashi;Women;Satoko, Shinashi
Barb Honchak;Women;Barb, Honchak
Amanda Buckner;Women;Amanda, Buckner
Ayaka Hamasaki;Women;Ayaka, Hamasaki
Miku Matsumoto;Women;Miku, Matsumoto
Laura DAuguste;Women;Laura, DAuguste
Zoila Frausto;Women;Zoila, Frausto
Hitomi Akano;Women;Hitomi, Akano
Yuuki Kondo;Women;Yuuki
Takayo Hashi;Women;Takayo, Hashi
Cat Zingano;Women;Cat, Zingano
Seo Hee Ham;Women;Seo, Ham
